Salsbury Cove,1
San Luis Obispo,1
San Ramon,1
Savannah,1
S Hadley,1
Shaker Hts,1
Shepherdstown,1
S Orange,1
So San Francisco,1
South Bend,1
Southfield,1
South Plainfield,1
South San Francisco,1
Stamford,1
Starkville,1
State Coll,1
St Augustine,1
St Louis Pk,1
Sunrise,1
Temecula,1
Tigard,1
Titusville,1
Tiverton,1
Tyler,1
Union,1
Upper Providence,1
Valencia,1
Waco,1
W Chester,1
Westmont,1
Westpoint,1
West Roxbury,1
West Roxobury,1
W Haverstraw,1
White Oak,1
Wichita,1
Williamsburg,1
Williamstown,1
Wise,1
W Linn,1
Woodbury,1
Wooster,1
W Sacramento,1
Wynnewood,1
Ypsilanti,1
