No,doi-1,doi-2,cc_frequency,pub1_msa,pub2_msa,pub1_title,pub2_title,pub1_authors,pub2_authors,dc
502,10.1016/0003-2697(76)90527-3,10.1016/0304-4165(79)90289-7,238,"Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology","Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology",A rapid and sensitive method for the quantitation of microgram quantities of protein utilizing the principle of protein-dye binding,"Levels of glutathione, glutathione reductase and glutathione S-transferase activities in rat lung and liver","Bradford M.M., Bradford M.M., Bradford M.M.","Mannervik B., Depierre J.W., Moron M.S.",0
503,10.1016/0003-2697(76)90527-3,10.1016/S0076-6879(81)77046-0,242,"Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology","Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology",A rapid and sensitive method for the quantitation of microgram quantities of protein utilizing the principle of protein-dye binding,Glutathione Peroxidase,Bradford M.M.,Wendel A.,0
504,10.1016/0003-2697(76)90527-3,10.1016/0003-2697(82)90118-X,594,"Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology","Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology",A rapid and sensitive method for the quantitation of microgram quantities of protein utilizing the principle of protein-dye binding,"Analysis of nitrate, nitrite, and [15N]nitrate in biological fluids","Bradford M.M., Bradford M.M., Bradford M.M., Bradford M.M., Bradford M.M., Bradford M.M.","Tannenbaum S.R., Wishnok J.S., Skipper P.L., Glogowski J., Wagner D.A., Green L.C.",0
505,10.1016/0003-2697(76)90527-3,10.1016/0003-2697(84)90039-3,238,"Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology","Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology",A rapid and sensitive method for the quantitation of microgram quantities of protein utilizing the principle of protein-dye binding,Estimation of hydrogen peroxide in plant extracts using titanium(IV),"Bradford M.M., Bradford M.M., Bradford M.M.","Ferguson I.B., MacRae E.A., Patterson B.D.",0
506,10.1016/0003-2697(76)90527-3,10.1016/0003-2697(86)90640-8,451,"Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology","Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology",A rapid and sensitive method for the quantitation of microgram quantities of protein utilizing the principle of protein-dye binding,A direct colorimetric assay for Ca2+-stimulated ATPase activity,"Bradford M.M., Bradford M.M., Bradford M.M.","Chan K.-M., Delfert D., Junger K.D.",0
507,10.1016/0003-2697(76)90527-3,10.1016/0014-4827(88)90265-0,367,"Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology","Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology",A rapid and sensitive method for the quantitation of microgram quantities of protein utilizing the principle of protein-dye binding,A simple technique for quantitation of low levels of DNA damage in individual cells,"Bradford M.M., Bradford M.M., Bradford M.M., Bradford M.M.","Tice R.R., McCoy M.T., Singh N.P., Schneider E.L.",0
508,10.1016/0003-2697(76)90527-3,"",241,"Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology","Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology",A rapid and sensitive method for the quantitation of microgram quantities of protein utilizing the principle of protein-dye binding,A simple method for clinical assay of superoxide dismutase,"Bradford M.M., Bradford M.M., Bradford M.M.","Oberley L.W., Li Y., Sun Y.",0
509,10.1016/0003-2697(76)90527-3,10.1111/j.1399-3054.1983.tb04162.x,187,"Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology","Biochemistry, Genetics and Molecular Biology, Agricultural and Biological Sciences, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Agricultural and Biological Sciences, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Agricultural and Biological Sciences, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Agricultural and Biological Sciences, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology",A rapid and sensitive method for the quantitation of microgram quantities of protein utilizing the principle of protein-dye binding,Implications of water stress‐induced changes in the levels of endogenous ascorbic acid and hydrogen peroxide in Vigna seedlings,"Bradford M.M., Bradford M.M.","Mukherjee S.P., Choudhuri M.A.",0
510,10.2307/350547,10.1177/014662167700100306,306,"Arts and Humanities, Social Sciences, Arts and Humanities, Social Sciences, Social Sciences, Social Sciences","Social Sciences, Psychology, Psychology, Psychology, Social Sciences, Social Sciences",Measuring Dyadic Adjustment: new scales for assessing the quality of marriage and similar dyads,The CES-D Scale: A Self-Report Depression Scale for Research in the General Population,Spanier G.B.,Radloff L.S.,0
511,10.1016/0002-9149(76)90491-4,10.1161/01.CIR.58.6.1072,382,"Medicine, Medicine","Medicine, Medicine",Problems in echocardiographic volume determinations: echocardiographic angiographic correlations in the presence or absence of asynergy,Recommendations regarding quantitation in M-mode echocardiography: Results of a survey of echocardiographic measurements,"Gorlin R., Herman M.V., Kreulen T., Evan Teichholz L., Gorlin R., Herman M.V., Kreulen T., Evan Teichholz L., Gorlin R., Herman M.V., Kreulen T., Evan Teichholz L., Gorlin R., Herman M.V., Kreulen T., Evan Teichholz L.","DeMaria A., DeMaria A., DeMaria A., DeMaria A., Kisslo J., Kisslo J., Kisslo J., Kisslo J., Weyman A., Weyman A., Weyman A., Weyman A., Sahn D.J., Sahn D.J., Sahn D.J., Sahn D.J.",0
512,10.1016/0002-9149(76)90491-4,10.1016/0002-9149(86)90771-X,217,Medicine,Medicine,Problems in echocardiographic volume determinations: echocardiographic angiographic correlations in the presence or absence of asynergy,Echocardiographic assessment of left ventricular hypertrophy: Comparison to necropsy findings,"Gorlin R., Herman M.V., Kreulen T., Evan Teichholz L., Gorlin R., Herman M.V., Kreulen T., Evan Teichholz L., Gorlin R., Herman M.V., Kreulen T., Evan Teichholz L., Gorlin R., Herman M.V., Kreulen T., Evan Teichholz L., Gorlin R., Herman M.V., Kreulen T., Evan Teichholz L., Gorlin R., Herman M.V., Kreulen T., Evan Teichholz L., Gorlin R., Herman M.V., Kreulen T., Evan Teichholz L.","Lutas E.M., Lutas E.M., Lutas E.M., Lutas E.M., Campo E., Campo E., Campo E., Campo E., Sachs I., Sachs I., Sachs I., Sachs I., Devereux R.B., Devereux R.B., Devereux R.B., Devereux R.B., Alonso D.R., Alonso D.R., Alonso D.R., Alonso D.R., Reichek N., Reichek N., Reichek N., Reichek N., Gottlieb G.J., Gottlieb G.J., Gottlieb G.J., Gottlieb G.J.",0
513,10.1126/science.781840,10.1016/0022-1759(83)90303-4,188,"General, General","Medicine, Immunology and Microbiology",Human malaria parasites in continuous culture,Rapid colorimetric assay for cellular growth and survival: Application to proliferation and cytotoxicity assays,"Jensen J.B., Trager W.","Mosmann T., Mosmann T.",0
514,10.2106/00004623-197759010-00013,"",174,"Medicine, Medicine, Medicine, Medicine","Medicine, Medicine, Medicine, Medicine",Influence of positioning of prosthesis in total knee replacement,Coronal alignment after total knee replacement,"Ecker M.L., Lotke P.A., Ecker M.L., Lotke P.A., Ecker M.L., Lotke P.A.","Jeffery R.S., Jeffery R.S., Denham R.A., Denham R.A., Morris R.W., Morris R.W.",0
515,10.2307/2529310,10.1126/science.3287615,143,"Biochemistry, Genetics and Molecular Biology, Immunology and Microbiology, Mathematics, Mathematics, Agricultural and Biological Sciences","General, General, General, General, General",The measurement of observer agreement for categorical data,Measuring the accuracy of diagnostic systems,"Landis J.R., Koch G.G.","Swets J.A., Swets J.A.",0
516,10.1099/00207713-27-2-104,10.1016/0167-7012(84)90018-6,239,"Immunology and Microbiology, Immunology and Microbiology, Immunology and Microbiology, Immunology and Microbiology, Immunology and Microbiology, Immunology and Microbiology","Immunology and Microbiology, Biochemistry, Genetics and Molecular Biology, Medicine, Immunology and Microbiology, Biochemistry, Genetics and Molecular Biology, Medicine",Polar lipid composition in the classification of Nocardia and related bacteria,An integrated procedure for the extraction of bacterial isoprenoid quinones and polar lipids,"Alshamaony L., Minnikin D.E., Goodfellow M., Patel P.V., Alshamaony L., Minnikin D.E., Goodfellow M., Patel P.V., Alshamaony L., Minnikin D.E., Goodfellow M., Patel P.V., Alshamaony L., Minnikin D.E., Goodfellow M., Patel P.V., Alshamaony L., Minnikin D.E., Goodfellow M., Patel P.V., Alshamaony L., Minnikin D.E., Goodfellow M., Patel P.V., Alshamaony L., Minnikin D.E., Goodfellow M., Patel P.V.","O'Donnell A.G., O'Donnell A.G., O'Donnell A.G., O'Donnell A.G., Minnikin D.E., Minnikin D.E., Minnikin D.E., Minnikin D.E., Schaal A., Schaal A., Schaal A., Schaal A., Athalye M., Athalye M., Athalye M., Athalye M., Parlett J.H., Parlett J.H., Parlett J.H., Parlett J.H., Alderson G., Alderson G., Alderson G., Alderson G., Goodfellow M., Goodfellow M., Goodfellow M., Goodfellow M.",1
517,10.1099/00207713-27-2-104,10.1099/00207713-39-3-224,217,"Immunology and Microbiology, Immunology and Microbiology, Immunology and Microbiology, Immunology and Microbiology","Immunology and Microbiology, Immunology and Microbiology, Immunology and Microbiology, Immunology and Microbiology",Polar lipid composition in the classification of Nocardia and related bacteria,Fluorometric deoxyribonucleic acid-deoxyribonucleic acid hybridization in microdilution wells as an alternative to membrane filter hybridization in which radioisotopes are used to determine genetic relatedness among bacterial strains,"Alshamaony L., Minnikin D.E., Goodfellow M., Patel P.V., Alshamaony L., Minnikin D.E., Goodfellow M., Patel P.V., Alshamaony L., Minnikin D.E., Goodfellow M., Patel P.V.","Yabuuchi E., Yabuuchi E., Yabuuchi E., Yabuuchi E., Ezaki T., Ezaki T., Ezaki T., Ezaki T., Hashimoto Y., Hashimoto Y., Hashimoto Y., Hashimoto Y.",0
518,10.1038/267673a0,10.1016/0167-2738(84)90049-3,106,"General, General, General","Materials Science, Chemistry, Physics and Astronomy",The 'universal' dielectric response,Note on the parameterization of the constant-phase admittance element,Jonscher A.K.,Ross Macdonald J.,1
519,10.1038/267673a0,10.1063/1.344049,148,General,Physics and Astronomy,The 'universal' dielectric response,Impedance and modulus spectroscopy of semiconducting BaTiO3 showing positive temperature coefficient of resistance,"Jonscher A.K., Jonscher A.K.","Sinclair D.C., West A.R.",0
520,10.1080/00207547708943107,10.1111/j.1540-5915.1988.tb00264.x,310,"Engineering, Decision Sciences, Decision Sciences, Decision Sciences, Decision Sciences, Business, Management and Accounting, Business, Management and Accounting, Business, Management and Accounting, Business, Management and Accounting, Engineering, Engineering, Engineering","Business, Management and Accounting, Decision Sciences, Business, Management and Accounting, Business, Management and Accounting, Business, Management and Accounting, Business, Management and Accounting, Decision Sciences, Business, Management and Accounting, Business, Management and Accounting, Decision Sciences, Business, Management and Accounting, Business, Management and Accounting",An integrated inventory model for a single supplier-single customer problem,“A JOINT ECONOMIC‐LOT‐SIZE MODEL FOR PURCHASER AND VENDOR”: A COMMENT,Goyal S.K.,Goyal S.K.,1
521,10.1115/1.3443401,10.1016/0013-7944(85)90052-9,267,"Engineering, Physics and Astronomy, Physics and Astronomy, Materials Science, Materials Science, Engineering, Engineering, Engineering","Engineering, Engineering, Engineering, Engineering, Engineering, Engineering, Engineering, Engineering",Continuum theory of ductile rupture by void nucleation and growth: Part 1 - yield criteria and flow rules for porous ductile media,"Fracture characteristics of three metals subjected to various strains, strain rates, temperatures and pressures","Gurson A.L., Gurson A.L.","Johnson G.R., Cook W.H.",0
522,10.1016/0021-9991(77)90100-0,10.1016/0021-9991(72)90065-4,243,"Physics and Astronomy, Physics and Astronomy, Computer Science, Computer Science","Computer Science, Physics and Astronomy, Physics and Astronomy, Computer Science",Numerical analysis of blood flow in the heart,Flow patterns around heart valves: A numerical method,Peskin C.S.,Peskin C.S.,1
523,10.1037/0033-295X.84.2.191,10.1177/014662167700100306,240,"Psychology, Psychology","Social Sciences, Psychology",Self-efficacy: Toward a unifying theory of behavioral change,The CES-D Scale: A Self-Report Depression Scale for Research in the General Population,Bandura A.,Radloff L.S.,0
524,10.2136/sssaj1977.03615995004100050005x,10.1139/t79-003,209,Agricultural and Biological Sciences,Engineering,SHEAR RESISTANCE OF ROOT-PERMEATED HOMOGENEOUS AND STRATIFIED SOIL.,"STRENGTH OF TREE ROOTS AND LANDSLIDES ON PRICE OF WALES ISLAND, ALASKA.","Waldron L.J., Waldron L.J., Waldron L.J.","Swanston Douglas N., Wu Tien H., McKinnell III William P.",0
525,10.1007/BF01261801,10.1016/0148-9062(83)90595-8,222,"Earth and Planetary Sciences, Earth and Planetary Sciences, Earth and Planetary Sciences, Earth and Planetary Sciences, Earth and Planetary Sciences, Earth and Planetary Sciences, Environmental Science, Environmental Science, Engineering, Engineering","Earth and Planetary Sciences, Engineering, Engineering, Earth and Planetary Sciences, Earth and Planetary Sciences, Engineering, Engineering, Earth and Planetary Sciences, Engineering, Earth and Planetary Sciences",The shear strength of rock joints in theory and practice,Fundamentals of rock joint deformation,"Barton N., Choubey V., Barton N., Choubey V., Barton N., Choubey V.","Barton N.R., Barton N.R., Bandis S.C., Bandis S.C., Lumsden A.C., Lumsden A.C.",1
526,10.1038/266730a0,10.1007/BF00428203,416,"Medicine, General","Pharmacology, Toxicology and Pharmaceutics, Pharmacology, Toxicology and Pharmaceutics",Depression: A new animal model sensitive to antidepressant treatments [27],The tail suspension test: A new method for screening antidepressants in mice,"Jalfre M., Le Pichon M., Porsolt R.D., Jalfre M., Le Pichon M., Porsolt R.D., Jalfre M., Le Pichon M., Porsolt R.D., Jalfre M., Le Pichon M., Porsolt R.D.","Steru L., Steru L., Steru L., Thierry B., Thierry B., Thierry B., Simon P., Simon P., Simon P., Chermat R., Chermat R., Chermat R.",0
527,10.1176/ajp.134.11.1227,"",144,"Medicine, Medicine","Medicine, Pharmacology, Toxicology and Pharmaceutics",Cyclothymic disorder: Validating criteria for inclusion in the bipolar affective group,Criteria for the 'soft' bipolar spectrum: Treatment implications,"Rosenthal R.H., Akiskal H.S., Djenderedjian A.H., Khani M.K., Rosenthal R.H., Akiskal H.S., Djenderedjian A.H., Khani M.K.","Mallya G., Mallya G., Mallya G., Mallya G., Akiskal H.S., Akiskal H.S., Akiskal H.S., Akiskal H.S.",0
528,10.1073/pnas.74.12.5463,10.1016/0003-2697(80)90515-1,129,"General, General, General, General","Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology",DNA sequencing with chain-terminating inhibitors.,LIGAND: A versatile computerized approach for characterization of ligand-binding systems,"Coulson A.R., Sanger F., Nicklen S., Coulson A.R., Sanger F., Nicklen S.","Munson P.J., Munson P.J., Munson P.J., Rodbard D., Rodbard D., Rodbard D.",0
529,10.1099/00221287-100-2-221,"",114,Immunology and Microbiology,Immunology and Microbiology,Distribution of menaquinones in actinomycetes and corynebacteria,Numerical classification of Streptomyces and related genera,"Pirouz T., Collins M.D., Minnikin D.E., Goodfellow M., Pirouz T., Collins M.D., Minnikin D.E., Goodfellow M., Pirouz T., Collins M.D., Minnikin D.E., Goodfellow M., Pirouz T., Collins M.D., Minnikin D.E., Goodfellow M., Pirouz T., Collins M.D., Minnikin D.E., Goodfellow M., Pirouz T., Collins M.D., Minnikin D.E., Goodfellow M.","Goodfellow M., Goodfellow M., Goodfellow M., Goodfellow M., Williams S.T., Williams S.T., Williams S.T., Williams S.T., Alderson G., Alderson G., Alderson G., Alderson G., Wellington E.M., Wellington E.M., Wellington E.M., Wellington E.M., Sneath P.H., Sneath P.H., Sneath P.H., Sneath P.H., Sackin M.J., Sackin M.J., Sackin M.J., Sackin M.J.",0
530,10.1099/00221287-100-2-221,10.1111/j.1365-2672.1983.tb01297.x,266,"Immunology and Microbiology, Immunology and Microbiology","Immunology and Microbiology, Immunology and Microbiology",Distribution of menaquinones in actinomycetes and corynebacteria,Analysis of bacterial menaquinone mixtures by high performance liquid chromatography,"Pirouz T., Collins M.D., Minnikin D.E., Goodfellow M., Pirouz T., Collins M.D., Minnikin D.E., Goodfellow M., Pirouz T., Collins M.D., Minnikin D.E., Goodfellow M.","Tamaoka J., Tamaoka J., Tamaoka J., Tamaoka J., Katayama-Fujimura Y., Katayama-Fujimura Y., Katayama-Fujimura Y., Katayama-Fujimura Y., Kuraishi H., Kuraishi H., Kuraishi H., Kuraishi H.",1
531,10.1099/00221287-100-2-221,10.1016/0167-7012(84)90018-6,407,"Immunology and Microbiology, Immunology and Microbiology, Immunology and Microbiology","Biochemistry, Genetics and Molecular Biology, Immunology and Microbiology, Medicine",Distribution of menaquinones in actinomycetes and corynebacteria,An integrated procedure for the extraction of bacterial isoprenoid quinones and polar lipids,"Pirouz T., Collins M.D., Minnikin D.E., Goodfellow M., Pirouz T., Collins M.D., Minnikin D.E., Goodfellow M., Pirouz T., Collins M.D., Minnikin D.E., Goodfellow M., Pirouz T., Collins M.D., Minnikin D.E., Goodfellow M., Pirouz T., Collins M.D., Minnikin D.E., Goodfellow M., Pirouz T., Collins M.D., Minnikin D.E., Goodfellow M., Pirouz T., Collins M.D., Minnikin D.E., Goodfellow M.","Schaal A., Schaal A., Schaal A., Schaal A., Athalye M., Athalye M., Athalye M., Athalye M., Minnikin D.E., Minnikin D.E., Minnikin D.E., Minnikin D.E., O'Donnell A.G., O'Donnell A.G., O'Donnell A.G., O'Donnell A.G., Goodfellow M., Goodfellow M., Goodfellow M., Goodfellow M., Parlett J.H., Parlett J.H., Parlett J.H., Parlett J.H., Alderson G., Alderson G., Alderson G., Alderson G.",1
532,10.1099/00221287-100-2-221,10.1016/0378-1097(84)90059-4,211,"Immunology and Microbiology, Immunology and Microbiology, Immunology and Microbiology","Biochemistry, Genetics and Molecular Biology, Immunology and Microbiology, Biochemistry, Genetics and Molecular Biology",Distribution of menaquinones in actinomycetes and corynebacteria,Determination of DNA base composition by reversed-phase high-performance liquid chromatography,"Pirouz T., Collins M.D., Minnikin D.E., Goodfellow M., Pirouz T., Collins M.D., Minnikin D.E., Goodfellow M.","Tamaoka J., Tamaoka J., Tamaoka J., Tamaoka J., Komagata K., Komagata K., Komagata K., Komagata K.",0
533,10.1099/00221287-100-2-221,10.1099/00207713-39-3-224,399,"Immunology and Microbiology, Immunology and Microbiology","Immunology and Microbiology, Immunology and Microbiology",Distribution of menaquinones in actinomycetes and corynebacteria,Fluorometric deoxyribonucleic acid-deoxyribonucleic acid hybridization in microdilution wells as an alternative to membrane filter hybridization in which radioisotopes are used to determine genetic relatedness among bacterial strains,"Pirouz T., Collins M.D., Minnikin D.E., Goodfellow M., Pirouz T., Collins M.D., Minnikin D.E., Goodfellow M., Pirouz T., Collins M.D., Minnikin D.E., Goodfellow M.","Hashimoto Y., Hashimoto Y., Hashimoto Y., Hashimoto Y., Ezaki T., Ezaki T., Ezaki T., Ezaki T., Yabuuchi E., Yabuuchi E., Yabuuchi E., Yabuuchi E.",0
534,10.3758/BF03198740,10.3758/BF03337021,246,"Psychology, Neuroscience, Psychology, Psychology, Neuroscience, Psychology","Chemical Engineering, Chemistry, Chemistry, Chemistry, Chemical Engineering, Chemical Engineering",Recognizing the sex of a walker from a dynamic point-light display,Recognizing friends by their walk: Gait perception without familiarity cues,"Cutting J.E., Kozlowski L.T., Cutting J.E., Kozlowski L.T.","Kozlowski L.T., Kozlowski L.T., Cutting J.E., Cutting J.E.",1
535,10.1016/0003-2697(77)90197-X,10.1017/S0022029900032519,239,"Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology","Agricultural and Biological Sciences, Agricultural and Biological Sciences, Agricultural and Biological Sciences, Agricultural and Biological Sciences, Agricultural and Biological Sciences, Agricultural and Biological Sciences",A new staining technique for proteins in polyacrylamide gels using Coomassie brilliant blue G250,Proteinases in normal bovine milk and their action on caseins,"Boezi J.A., Blakesley R.W.","Andrews A.T., Andrews A.T.",0
536,10.1016/0003-2697(77)90720-5,10.1016/S0723-2020(83)80048-4,626,"Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology","Agricultural and Biological Sciences, Agricultural and Biological Sciences, Immunology and Microbiology, Immunology and Microbiology, Agricultural and Biological Sciences, Immunology and Microbiology, Immunology and Microbiology, Immunology and Microbiology, Immunology and Microbiology, Agricultural and Biological Sciences, Immunology and Microbiology, Immunology and Microbiology",A rapid method for the base ratio determination of bacterial DNA,Studies on the spectrophotometric determination of DNA hybridization from renaturation rates,"Holder-Franklin M.A., Cashion P., Franklin M., McCully J., Holder-Franklin M.A., Cashion P., Franklin M., McCully J., Holder-Franklin M.A., Cashion P., Franklin M., McCully J.","Festl H., Festl H., Festl H., Festl H., Huss V.A.R., Huss V.A.R., Huss V.A.R., Huss V.A.R., Schleifer K.H., Schleifer K.H., Schleifer K.H., Schleifer K.H.",0
