wos_id,pmid
WOS:000214938600012,22280118
WOS:000420661400010,22281517
WOS:000212539100003,22281995
WOS:000212539100008,22282000
WOS:000410361100001,22282024
WOS:000421298800010,22282280
WOS:000421298800012,22282282
WOS:000421298800014,22282284
WOS:000213895200001,22282677
WOS:000213895200006,22282682
WOS:000213895200008,22282684
WOS:000213895200015,22282691
WOS:000213895200017,22282693
WOS:000219367800002,22282723
WOS:000420955200012,22284866
WOS:000213901800001,22287858
WOS:000213901800006,22287863
WOS:000219458500001,22288057
WOS:000211925500008,22289069
WOS:000219497100006,22290207
WOS:A1993KV53400005,22290368
WOS:A1992JM10300008,22291240
WOS:A1992JM10300012,22291244
WOS:A1992JM10500004,22291343
WOS:A1992JM10600002,22291367
WOS:000213868500005,22291486
WOS:000213868500014,22291495
WOS:000215723900002,22292106
WOS:000213956100005,22292513
WOS:000214108300008,22293105
WOS:000212717200005,22294971
WOS:000210605200013,22298067
WOS:000211127900004,22299802
WOS:000211127900006,22299804
WOS:000214012900002,22301956
WOS:000214012900011,22301965
WOS:000214012900029,22301981
WOS:000212139600005,22309378
WOS:000213861100002,22312198
WOS:000214092300003,22318776
WOS:000217903400007,22318893
WOS:000213866100015,22319247
WOS:000409621400012,22319685
WOS:000422481500009,22319757
WOS:000216460200015,22320010
WOS:000213621200002,22321400
WOS:000214601100009,22323116
WOS:000217554400006,22323899
WOS:000217826200015,22323927
WOS:000420596200007,22323952
WOS:000218286600002,22323967
WOS:000218286600005,22323970
WOS:000218286600009,22323974
WOS:000218628900002,22327107
WOS:000421299300014,22327149
WOS:000421299300011,22327163
WOS:000217595800006,22327853
WOS:000217595800008,22327855
WOS:000217595800012,22327859
WOS:000422403000005,22328050
WOS:000215860500001,22333270
WOS:000213868000005,22336532
WOS:000420024000002,22338622
WOS:000409628000004,22339483
WOS:000216576000021,22344007
WOS:000216576000023,22344009
WOS:000216576000024,22344010
WOS:000218157300001,22346030
WOS:000218157300003,22346032
WOS:000217012300016,22346054
WOS:000218617000015,22346106
WOS:000216996600007,22346113
WOS:000216996600009,22346115
WOS:000218623000008,22346186
WOS:000218623000031,22346209
WOS:000218623000032,22346210
WOS:000215589700004,22346360
WOS:000422560400003,22348203
WOS:000422560400010,22348210
WOS:000420024000009,22353197
WOS:000421419600010,22357438
WOS:000213962900006,22359463
WOS:000218863400011,22359830
WOS:000218863400015,22359834
WOS:000209165900002,22360104
WOS:000219205500003,22361495
WOS:000218628900003,22361820
WOS:000219205700004,22363075
WOS:000219204900004,22363084
WOS:000219128000002,22363916
WOS:000219128000007,22363921
WOS:000219128000009,22363923
WOS:000421549600003,22365101
WOS:000219249300012,22368403
WOS:000219228000003,22368409
WOS:000219228000021,22368427
WOS:000219228000028,22368434
WOS:000212261700003,22368517
